"ROOMID","SITEID","NAME","CATEGORY","TYPE","CLASSIFICATION","ROOMGRPCODE","ZONE","CAPACITY","PREFMIN","PREFMAX","DEPTID","ROOMAREA","DYNAFILL","SETID","UNIQUEFIELD","LINKCODE","CAMPUSID"
"GCLH","GDCOL","Goodenough College -London House Lge Common Room","EXT","DB","CR","","N",90,,,"BSPLN_BEN",-1,"N","LIVE-16-17","","","X06"
"G88","005","Wilkins Octagon","REC","DB","SS","","N",,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","WILKN_","X01"
"17B","050","Bernard Katz Cell Analysis Lab 1.7B","REC","DB","LA","","N",15,,,"BENGN_ENG",59.0900002,"N","LIVE-15-16","","BKATZ_","X01"
"410","045","Roberts 410","REC","DB","PC1","","N",10,,,"MECHN_ENG",-1,"N","LIVE-15-16","","RBRTS_","X01"
"110","050","Bernard Katz Data Analysis Lab 1.10","REC","DB","LA","","N",10,,,"BENGN_ENG",33.2200012,"N","LIVE-15-16","","BKATZ_","X01"
"CWAYMH","CWAY","Conway Hall Main Hall","EXT","DB","CR","","N",160,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"BKATZ002","050","Bernard Katz  ACBE Labs","REC","DB","LA","","N",50,,,"BENGN_ENG",-1,"N","LIVE-15-16","","BKATZ_","X01"
"G08","371","Gordon Square (51) G08","REC","DB","CR","","N",20,,,"ESTDV_ADM",34.4000015,"N","LIVE-15-16","","GRDSQ49_","X01"
"128","050","Bernard Katz Downstreaming Processing Lab 1.28","REC","DB","LA","","N",8,,,"BENGN_ENG",38.7099991,"N","LIVE-15-16","","BKATZ_","X01"
"102","045","Roberts 102","REC","CB","CR","","YA",5,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","RBRTS_","X01"
"15","050","Bernard Katz Downstreaming Processing Lab 1.5","REC","DB","LA","","N",20,,,"BENGN_ENG",83.7399979,"N","LIVE-15-16","","BKATZ_","X01"
"106","016","Anatomy 106","REC","DB","CR","","N",45,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","MEDSC_","X01"
"B1.04","212","Cruciform B1.04","CLU","CB","CR","","YA",6,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","CRUCI_","X01"
"126","050","Bernard Katz Fermentation Lab 1.26","REC","DB","LA","","N",10,,,"BENGN_ENG",53.3199997,"N","LIVE-15-16","","BKATZ_","X01"
"B305","212","Cruciform B.3.05","CLU","CB","CR","","YA",6,,,"ESTDV_ADM",12.8000002,"N","LIVE-15-16","","CRUCI_","X01"
"B09","087","Gower Street (66-72) B09","SNR","DB","LT","","N",50,,,"GRADS_ADM",-1,"N","LIVE-15-16","","GOWST66_","X01"
"FUR404","227","Archway - 404 Furnival","WHH","WB","CR","","N",0,,,"EXWRBO",-1,"N","LIVE-15-16","","FURNV_","X03"
"1849","006","Physics Lab 1","REC","DB","LA","","N",100,,,"PHYSA_MAP",-1,"N","LIVE-15-16","","PHYSC_","X01"
"1850","006","Physics Lab 2","REC","DB","LA","","N",100,,,"PHYSA_MAP",-1,"N","LIVE-15-16","","PHYSC_","X01"
"1851","006","Physics Lab 3","REC","DB","LA","","N",100,,,"PHYSA_MAP",-1,"N","LIVE-15-16","","PHYSC_","X01"
"B306","212","Cruciform B.3.06","CLU","CB","CR","","YA",6,,,"ESTDV_ADM",12.6000004,"N","LIVE-15-16","","CRUCI_","X01"
"321","107","Drayton 321","SNR","DB","CR","","N",25,,,"ECONS_SHS",-1,"N","LIVE-15-16","","DRAYT_","X01"
"B17","107","Drayton B17","SNR","DB","PC1","","N",15,,,"ECONS_SHS",-1,"N","LIVE-15-16","","DRAYT_","X01"
"BCAHC","016","Histology Lab","REC","DB","LA","","N",110,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","MEDSC_","X01"
"B307","212","Cruciform B.3.07","CLU","CB","CR","","YA",6,,,"ESTDV_ADM",14.1999998,"N","LIVE-15-16","","CRUCI_","X01"
"B308","212","Cruciform B.3.08","CLU","CB","CR","","YA",6,,,"ESTDV_ADM",13.5,"N","LIVE-15-16","","CRUCI_","X01"
"103","045","Roberts 103","REC","CB","CR","","YA",6,,,"ESTDV_ADM",14,"N","LIVE-15-16","","RBRTS_","X01"
"HUBSOC","221","Archway - G59 Holborn Union - Social Space","WHH","WB","SS","","N",120,,300,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"HUBPGS3","221","Archway - 133 Holborn Union","WHH","WB","MR","","N",10,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"HUBMHTR","221","Archway - 337 Holborn Union (CETL - Tutorial Room)","WHH","WB","CR","","N",8,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"HUBPGS2","221","Archway - 134 Holborn Union","WHH","WB","MR","","N",15,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"HUBPGS4","221","Archway - 130 Holborn Union","WHH","WB","CR","","N",40,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"HUBMH1B","221","Archway - 331b Holborn Union (formerly CETL - Rm 1B)","WHH","WB","CR","","N",25,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"HUBMH2A","221","Archway - 332a Holborn Union (formerly CETL - Rm 2A)","WHH","WB","CR","","N",25,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"HUBMH2B","221","Archway - 332b Holborn Union (formerly CETL - Rm 2B)","WHH","WB","CR","","N",25,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"B401","212","Cruciform B.4.01","CLU","CB","CR","","YA",8,,,"ESTDV_ADM",15.5,"N","LIVE-15-16","","CRUCI_","X01"
"HUBMH3A","221","Archway - 345 Holborn Union (formerly CETL - Rm 3A)","WHH","WB","CR","","N",15,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"HUBPGS5","221","Archway - 128 Holborn Union","WHH","WB","CR","","N",50,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"WECSR7","WHWEC","Whittington Education Centre - 7","WHH","WB","CR","","N",60,,,"EXWRBO",-1,"N","LIVE-15-16","","WHEDC_","X03"
"HUBMH3B","221","Archway - 343 Holborn Union (formerly CETL - Rm 3B)","WHH","WB","CR","","N",20,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"HUBMH4","221","Archway - 341 Holborn Union (formerly CETL - Rm 4)","WHH","WB","CR","","N",20,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"FUR405","227","Archway - 405 Furnival","WHH","WB","CR","","N",0,,,"EXWRBO",-1,"N","LIVE-15-16","","FURNV_","X03"
"HUBMH5","221","Archway - 339 Holborn Union (formerly CETL - Rm 5)","WHH","WB","CR","","N",20,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"B26","025","Gordon Square (25) B26","REC","CB","CR","","YA",8,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","GRDSQ25_","X01"
"338","374","Rockefeller 338","CLU","CB","CR","","YA",8,,,"ESTDV_ADM",18.8999996,"N","LIVE-15-16","","ROCKF_","X01"
"HUBPGS1","221","Archway - 136 Holborn Union","WHH","WB","CR","","N",40,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"HUBPGS6","221","Archway - G18 Holborn Union (formerly WPEC Seminar Rm 5)","WHH","WB","CR","","N",15,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"HUBLT","221","Archway - G19 Holborn Union - Lecture Theatre","WHH","WB","LT","","N",120,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"9FCC","UNI","9th Floor Conference Chamber","EXT","DB","LT","","NN",30,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","","X06"
"G16","201","Rockefeller G16","CLU","CB","CR","","YA",8,,,"ESTDV_ADM",18.2399998,"N","LIVE-15-16","","ROCKF_","X01"
"HUBSRA","221","Archway - 101 Holborn Union ( formerly Seminar Rm A)","WHH","WB","CR","","N",30,,,"EXWRBO",-1,"N","LIVE-15-16","","HOLBU_","X03"
"102","088","Gordon House 102","SNR","DB","OF","","N",4,,,"GRKLT_ART",-1,"N","LIVE-16-17","","GRDHS_","X01"
"SEM2","245","Eastman Dental Institute Edi-CPD Seminar Room 2","MEI","DB","CR","","N",0,,,"EASTD_MDS",-1,"N","LIVE-15-16","","","X05"
"507","044","Darwin 507c","REC","DB","OF","","N",5,,,"BIOSC_LIF",-1,"N","LIVE-15-16","","DARWN_","X01"
"RYLFRJK","281","Royal Free Hospital Jerry Kirk Seminar Room 9/222","RFH","WB","CR","","N",50,,,"EXWRBO",-1,"N","LIVE-15-16","","ROYAL_","X03"
"246","086","Torrington (1-19) 246","SNR","DB","CR","","N",35,,,"BSCPM_BEN",-1,"N","LIVE-15-16","","TORPL19_","X01"
"218","181","Birkbeck Gordon Square (43) 218","EXT","DB","","","N",15,,,"ICBRK_NFA",23.0400009,"N","LIVE-15-16","","","X06"
"G04","181","Birkbeck Gordon Square (43) G04","EXT","DB","CR","","N",30,,,"ICBRK_NFA",54.9599991,"N","LIVE-15-16","","","X06"
"G03","181","Birkbeck Gordon Square (43) G03","EXT","CB","CR","","NN",28,,,"ESTDV_ADM",51.9500008,"N","LIVE-15-16","","","X06"
"G02","181","Birkbeck Gordon Square (43) G02","EXT","CB","CR","","NN",30,,,"ESTDV_ADM",52,"N","LIVE-15-16","","","X06"
"ICHB","240","ICH Wolfson Room B (Ground Floor)","CHH","DB","CR","","YA",52,,,"CHILD_PHS",-1,"N","LIVE-15-16","","","X05"
"ICHB","240","ICH Wolfson Room B (Ground Floor)","CHH","DB","MR","","YA",26,,,"CHILD_PHS",0,"N","LIVE-15-16","1","","X05"
"ICHC","240","ICH Wolfson Room C (Ground Floor)","CHH","DB","CR","","YA",36,,,"CHILD_PHS",-1,"N","LIVE-15-16","","","X05"
"ICHC","240","ICH Wolfson Room C (Ground Floor)","CHH","DB","MR","","YA",24,,,"CHILD_PHS",0,"N","LIVE-15-16","1","","X05"
"ICHD","240","ICH Wolfson Room D (Ground Floor)","CHH","DB","CR","","YP",24,,,"CHILD_PHS",0,"N","LIVE-15-16","1","","X05"
"ICHD","240","ICH Wolfson Room D (Ground Floor)","CHH","DB","MR","","YP",16,,,"CHILD_PHS",-1,"N","LIVE-15-16","","","X05"
"ICHE","240","ICH Wolfson Room E (Ground Floor)","CHH","DB","CR","","YP",20,,,"CHILD_PHS",0,"N","LIVE-15-16","1","","X05"
"ICHE","240","ICH Wolfson Room E (Ground Floor)","CHH","DB","MR","","YP",14,,,"CHILD_PHS",-1,"N","LIVE-15-16","","","X05"
"ICHJ","240","ICH Wolfson Room J (1st Floor)","CHH","DB","CR","","YA",12,,,"CHILD_PHS",-1,"N","LIVE-15-16","","","X05"
"410","025","Gordon Square (25) 410","REC","DB","OF","","N",10,,,"HISTR_SHS",-1,"N","LIVE-15-16","","GRDSQ25_","X01"
"107","235","Chandler 107","MEI","DB","CR","","NN",6,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"ICHJ","240","ICH Wolfson Room J (1st Floor)","CHH","DB","MR","","YA",8,,,"CHILD_PHS",0,"N","LIVE-15-16","1","","X05"
"ICHF","240","ICH Wolfson Room F (Ground Floor)","CHH","DB","PC1","","NN",11,,,"CHILD_PHS",-1,"N","LIVE-15-16","","","X05"
"G29","086","Torrington (1-19) G29","SNR","DB","CR","","N",25,,,"CALTG_SHS",-1,"N","LIVE-15-16","","TORPL19_","X01"
"G01","181","Birkbeck Gordon Square (43) G01","EXT","CB","CR","","NN",28,,,"ESTDV_ADM",48.7999992,"N","LIVE-15-16","","","X06"
"FROOM","52CLUB","52 Club Function Room","EXT","DB","CR","","N",80,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"BAR","52CLUB","52 Club Bar","EXT","DB","CR","","N",30,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"G33","348","Ear Institute G33","MEI","DB","CR","","N",30,,,"EARIN_BMS",-1,"N","LIVE-15-16","","","X05"
"122","181","Birkbeck Gordon Square (43) 122","EXT","CB","CR","","N",27,,,"ICBRK_NFA",-1,"N","LIVE-15-16","","","X06"
"B20","180","Birkbeck Malet Street B20","EXT","DB","LT","","NN",99,,,"ESTDV_ADM",109.589996,"N","LIVE-15-16","","","X06"
"G39","401","Ear Institute - Cluster G39","MEI","DB","PC1","","N",10,,,"EARIN_BMS",-1,"N","LIVE-15-16","","","X05"
"LG1","245","Eastman Dental Institute L1","MEI","DB","LT","","N",0,,,"EASTD_MDS",-1,"N","LIVE-15-16","","","X05"
"BMACC","BMA","BMA Council Chamber","EXT","DB","CR","","N",90,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","",""
"BMAMB","BMA","BMA Murrell Barnes","EXT","DB","CR","","N",70,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","",""
"G02","182","Birkbeck Clore Management Centre G02","EXT","DB","","","",25,,,"ICBRK_NFA",-1,"N","LIVE-15-16","","","X06"
"111","181","Birkbeck Gordon Square (43) 111","EXT","DB","","","",15,,,"ICBRK_NFA",-1,"N","LIVE-15-16","","","X06"
"120","181","Birkbeck Gordon Square (43) 120","EXT","CB","CR","","NN",22,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"121","181","Birkbeck Gordon Square (43) 121","EXT","DB","","","N",15,,,"ICBRK_NFA",-1,"N","LIVE-15-16","","","X06"
"BMAPR","BMA","BMA Princes Room","EXT","DB","CR","","N",90,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","",""
"146","086","Torrington (1-19) 146","SNR","DB","MR","","N",6,,,"STATS_MAP",-1,"N","LIVE-16-17","","TORPL19_","X01"
"604","044","Darwin Building 604","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"D514a","044","Darwin Building 514a","REC","DB","OF","","N",2,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"205","181","Birkbeck Gordon Square (43) 205","EXT","DB","","","",15,,,"ICBRK_NFA",-1,"N","LIVE-15-16","","","X06"
"520","044","Darwin Building 520","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"B05B","044","Darwin Building B.05c","REC","DB","CR","","N",20,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","DARWN_","X01"
"518","044","Darwin Building 518","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"ComC","BWA","Surma Community Centre","EXT","DB","CR","","",21,,,"ESTPP_ADM",-1,"N","LIVE-15-16","","","X06"
"G01","028","Gordon Square (23) G01","REC","DB","OF","","N",10,,,"HISTR_SHS",-1,"N","LIVE-16-17","","GRDSQ23_","X01"
"ROCKFS","ROCK","Rocket Full Suite","EXT","DB","CR","","N",160,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","","X06"
"602","044","Darwin Building 602","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"G18","400","Bidborough House G18","SNR","DB","PC3","","NN",10,,,"LAWSD_LAW",-1,"N","LIVE-16-17","","",""
"127","126","Taviton (14) 127","SNR","DB","OF","","N",10,,,"ANTHR_SHS",-1,"N","LIVE-16-17","","TAVTN_","X01"
"MH","WHC","Woburn House Conference - Main Hall","EXT","DB","CR","","N",180,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","MH","X06"
"WLF505","049","Wolfson House 505","EXT","DB","LA","","",25,,,"ANTHR_SHS",-1,"N","LIVE-16-17","","","X01"
"D606","044","Darwin Building 606","REC","DB","OF","","N",2,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"DG18","044","Darwin Building G18","REC","DB","OF","","N",2,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"610","044","Darwin Building Building 610","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"RYLFR03","281","Royal Free Hospital - Room 6 (prev. Rm 3)","RFH","WB","CR","","N",50,,,"EXWRBO",-1,"N","LIVE-16-17","","ROYAL_",""
"LLT","INALS","Institute of Advanced Legal Studies LT","EXT","DB","LT","","N",100,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","ION","X06"
"L103","INALS","Institute of Advanced Legal Studies L103","EXT","DB","CR","","N",24,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","ION","X06"
"L104","INALS","Institute of Advanced Legal Studies L104","EXT","DB","CR","","N",16,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","ION","X06"
"G05","388","Central House G05 Steven Groak Room","SNR","DB","CR","","N",10,,,"BSGST_BEN",-1,"N","LIVE-16-17","","","X01"
"625","044","Darwin Building 625","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"636","044","Darwin Building 636","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"B05A","044","Darwin Building B05","REC","CB","CR","","YP",40,,,"ESTDV_ADM",62.7000008,"N","LIVE-16-17","","DARWN_","X01"
"DB09","044","Darwin Building B09","REC","DB","OF","","N",2,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"B15","044","Darwin Building B15","REC","CB","CR","","YP",40,,,"ESTDV_ADM",72.0999985,"N","LIVE-16-17","","DARWN_","X01"
"B40","044","Darwin Building B40 LT","REC","CB","LT","","YP",270,,,"ESTDV_ADM",201.410004,"N","LIVE-16-17","","DARWN_","X01"
"G16","044","Darwin Building G16","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"B3A","012","South Wing B3A","REC","DB","CR","","N",15,,,"ESTDV_ADM",33.5999985,"N","LIVE-16-17","","SWING_","X01"
"224","181","Birkbeck Gordon Square (43) 224","EXT","DB","","","",15,,,"ICBRK_NFA",-1,"N","LIVE-15-16","","","X06"
"309","028","Gordon Square (23) 309","REC","DB","OF","","N",5,,,"HISTR_SHS",-1,"N","LIVE-16-17","","GRDSQ23_","X01"
"BOARD","PCCC","Park Crescent Conference Centre Board Room","EXT","DB","MR","","N",24,,,"BSPLN_BEN",-1,"N","LIVE-16-17","","","X06"
"B09","212","Cruciform Building B.09","CLU","DB","CR","","N",20,,,"ESTDV_ADM",23.8999996,"N","LIVE-16-17","","CRUCI_","X01"
"B10","212","Cruciform Building B.10","CLU","DB","CR","","N",10,,,"ESTDV_ADM",23.8999996,"N","LIVE-16-17","","CRUCI_","X01"
"B301","212","Cruciform Building B.3.01","CLU","CB","CR","","YA",10,,,"ESTDV_ADM",17,"N","LIVE-16-17","","CRUCI_","X01"
"B305","212","Cruciform Building B.3.05","CLU","CB","CR","","YA",6,,,"ESTDV_ADM",12.8000002,"N","LIVE-16-17","","CRUCI_","X01"
"B306","212","Cruciform Building B.3.06","CLU","CB","CR","","YA",6,,,"ESTDV_ADM",12.6000004,"N","LIVE-16-17","","CRUCI_","X01"
"B307","212","Cruciform Building B.3.07","CLU","CB","CR","","YA",6,,,"ESTDV_ADM",14.1999998,"N","LIVE-16-17","","CRUCI_","X01"
"B401","212","Cruciform Building B.4.01","CLU","CB","CR","","YA",8,,,"ESTDV_ADM",15.5,"N","LIVE-16-17","","CRUCI_","X01"
"B1.03","212","Cruciform Building B1.03","CLU","CB","CR","","YP",18,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","CRUCI_","X01"
"102","212","Cruciform Building Foyer 102 Seminar Room 2","CLU","CB","CR","","YP",20,,,"ESTDV_ADM",44.7999992,"N","LIVE-16-17","","CRUCI_","X01"
"201","212","Cruciform Building Foyer 201 Seminar Room 3","CLU","CB","CR","","YP",20,,,"ESTDV_ADM",47,"N","LIVE-16-17","","CRUCI_","X01"
"GC05B","212","Cruciform Building G.C.05B","CLU","DB","CR","","N",,,,"UCLMS_MDS",-1,"N","LIVE-16-17","","CRUCI_","X01"
"B303","212","Cruciform Building Wet Lab, basement B.303","CLU","DB","LA","","Y",72,,,"UCLMS_MDS",-1,"N","LIVE-16-17","","CRUCI_","X01"
"G101","212","Cruciform Building Wet Lab, ground floor G.101","CLU","DB","LA","","Y",90,,,"UCLMS_MDS",-1,"N","LIVE-16-17","","CRUCI_","X01"
"G201","212","Cruciform Building Wet Lab, ground floor G.201","CLU","DB","LA","","Y",90,,,"UCLMS_MDS",-1,"N","LIVE-16-17","","CRUCI_","X01"
"D101a","044","Darwin Building 101a","REC","DB","OF","","N",2,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"B30","025","Gordon Square (25) B30","REC","CB","CR","","YP",18,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","GRDSQ25_","X01"
"105A","044","Darwin Building 105A","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"107","044","Darwin Building 107","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"112","040","Foster Court 112","REC","CB","CR","","YP",18,,,"ESTDV_ADM",37,"N","LIVE-16-17","","FOSTR_","X01"
"ICHPU2","238","PUW Seminar 2 (Ground Floor, 30 Guildford Street)","CHH","DB","CR","","YA",20,,,"CHILD_PHS",-1,"N","LIVE-15-16","","","X05"
"113","040","Foster Court 113","REC","CB","CR","","YP",18,,,"ESTDV_ADM",37.2000008,"N","LIVE-16-17","","FOSTR_","X01"
"101","028","Gordon Square (23) 101","REC","CB","CR","","YP",18,,,"ESTDV_ADM",32,"N","LIVE-16-17","","GRDSQ23_","X01"
"204","026","Gordon Square (24) 204","REC","DB","OF","","N",10,,,"HISTR_SHS",-1,"N","LIVE-17-18","","GRDSQ24_","X01"
"ICHPU2","238","PUW Seminar 2 (Ground Floor, 30 Guildford Street)","CHH","DB","MR","","YA",12,,,"CHILD_PHS",0,"N","LIVE-15-16","1","","X05"
"GCWG","GDCOL","Goodenough College -William Goodenough Lge Common Room","EXT","DB","CR","","N",90,,,"BSPLN_BEN",-1,"N","LIVE-17-18","","","X06"
"FHGF","FH","Friends House George Fox Room","EXT","DB","LT","","N",90,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"G6","087","Gower Street (66-72) G6","SNR","DB","CR","","N",36,,,"ELECN_ENG",-1,"N","LIVE-17-18","","GOWST66_","X01"
"111A","044","Darwin Building 111A","REC","DB","CR","","N",15,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"114","044","Darwin Building 114","REC","DB","CR","","N",15,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"205A","044","Darwin Building 205A","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"235","040","Foster Court 235","REC","CB","CR","","YP",20,,,"ESTDV_ADM",34.7000008,"N","LIVE-16-17","","FOSTR_","X01"
"243","040","Foster Court 243","REC","CB","CR","","YP",20,,,"ESTDV_ADM",53.6899986,"N","LIVE-16-17","","FOSTR_","X01"
"118A","044","Darwin Building 118A","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"202A","044","Darwin Building 202A","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"BMAB","BMA","BMA Black Suite","EXT","DB","CR","","N",70,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"BMASI","BMA","BMA Simpson Room","EXT","DB","CR","","N",12,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"BMAS","BMA","BMA Snow Room","EXT","DB","CR","","N",50,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"BMAH","BMA","BMA Harvey Room","EXT","DB","CR","","N",100,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"G07","035","Gordon Square (16-18) G07 Martin Swales Library","REC","DB","CR","","NN",10,,,"SELCS_ART",18.2000008,"N","LIVE-17-18","","GRDSQ16_","X01"
"WTCCR2","WHTCC","Whittington - Trevor Clay Centre - Rm 2","WHH","WB","CR","","N",0,,,"EXWH",-1,"N","LIVE-17-18","","WHTRV_","X03"
"WTCCR3","WHTCC","Whittington - Trevor Clay Centre - Rm 3","WHH","WB","CR","","N",0,,,"EXWH",-1,"N","LIVE-17-18","","WHTRV_","X03"
"YMCACO","YMCA","Indian YMCA Conference Room","EXT","DB","CR","","N",35,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"901","162","IOE - Bedford Way (20) - 901","SNR","CB","TH","","YN",35,,,"ESTDV_ADM",0,"N","LIVE-17-18","2","","X01"
"247","016","Research 247","REC","DB","LA","","N",16,,,"BIOSC_LIF",-1,"N","LIVE-17-18","","MEDSC_","X01"
"CONHA","CONGCE","Congress Centre Congress Hall","EXT","DB","CR","","N",500,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"G07","013","Chadwick Building G07","REC","CB","CR","","YP",58,,,"ESTDV_ADM",102.900002,"N","LIVE-17-18","","CHADW_","X01"
"PROOM","PCCC","Park Crescent Conference Centre Portland Room","EXT","DB","CR","","N",60,,,"BSPLN_BEN",-1,"N","LIVE-16-17","","","X06"
"1111","005","Wilkins Main Quad Events Venue - North Side","REC","CB","SS","","NN",180,,,"ESTDV_ADM",0,"N","LIVE-15-16","","WILKN_","X01"
"YMCAI","YMCA","Indian YMCA Mahatma Ghandi Hall","EXT","DB","CR","","N",250,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"204","044","Darwin Building 204","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"214","044","Darwin Building 214","REC","DB","CR","","N",15,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"216","044","Darwin Building 216","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"217A","044","Darwin Building 217a","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"401D","044","Darwin Building 401D","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"416","044","Darwin Building 416","REC","DB","OF","","N",6,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"507","044","Darwin Building 507c","REC","DB","OF","","N",5,,,"BIOSC_LIF",-1,"N","LIVE-16-17","","DARWN_","X01"
"116","044","Darwin Building Grant Museum","REC","DB","LA","","N",35,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","DARWN_","X01"
"DS","042","DMS Watson Building Digitization Suite","REC","DB","CR","","N",20,,,"INFST_ART",-1,"N","LIVE-16-17","","DWATS_","X01"
"337","374","Rockefeller Building 337 David Sacks","CLU","CB","CR","","YP",38,,,"ESTDV_ADM",57.7999992,"N","LIVE-16-17","","ROCKF_","X01"
"338","374","Rockefeller Building 338","CLU","CB","CR","","YA",8,,,"ESTDV_ADM",18.8999996,"N","LIVE-16-17","","ROCKF_","X01"
"339","374","Rockefeller Building 339","CLU","CB","CR","","YP",24,,,"ESTDV_ADM",42.2000008,"N","LIVE-16-17","","ROCKF_","X01"
"349","Senate","Senate House 349","EXT","DB","CR","","N",50,,,"INFST_ART",-1,"N","LIVE-16-17","","","X06"
"010","Senate","Senate House Senate Room","EXT","DB","CR","","N",80,,,"ESTDV_ADM",-1,"N","LIVE-16-17","","","X06"
